Materiales necesarios para el sistema de alarma IoT,,
,,
Producto,Cantidad,Enlace
,,
"ESP32 DEVKIT C - ""ESP-32 38 PIN""",3,https://www.aliexpress.com/item/32864722159.html?spm=a2g0o.order_list.order_list_main.83.21ef194dxvfqdR
ESP32 CAM,1,https://www.aliexpress.com/item/1005003804757059.html?spm=a2g0o.order_list.order_list_main.17.21ef194dxvfqdR
Porgramador micro usb ESP32 CAM,1,https://www.aliexpress.com/item/1005003804757059.html?spm=a2g0o.order_list.order_list_main.16.21ef194dxvfqdR
Sensor PIR HC-SR501,2,https://www.aliexpress.com/item/32477783558.html?spm=a2g0o.order_list.order_list_main.5.21ef194dCvsz0r
Cámara OV2640 con lente gran angular ,1,https://www.aliexpress.com/item/1005002947160929.html?spm=a2g0o.order_list.order_list_main.11.21ef194dxvfqdR
Lector de huellas AS608,1,https://www.aliexpress.com/item/32962793512.html?spm=a2g0o.order_list.order_list_main.41.21ef194dxvfqdR
Batería 18650,2,https://es.aliexpress.com/item/32810252344.html?spm=a2g0o.productlist.main.1.762a372aNcIEsu&algo_pvid=7a79df8e-869b-4906-b6ac-f9eb2f90b665&algo_exp_id=7a79df8e-869b-4906-b6ac-f9eb2f90b665-0&pdp_npi=3%40dis%21EUR%2121.7%219.55%21%21%21%21%21%402145288516843438509401456d072e%2112000027821435334%21sea%21ES%212751063590&curPageLogUid=FjRopLjcQ7BE
Zócalo para batería 18650,2,https://www.aliexpress.com/item/32580480645.html?spm=a2g0o.order_list.order_list_main.47.21ef194dxvfqdR
Cargador para baterías 18650 TP4056,2,https://www.aliexpress.com/item/32930640893.html?spm=a2g0o.order_list.order_list_main.35.21ef194dxvfqdR
Caja estanca de conexión,1,https://www.psolera.com/es/catalogo/envolventes/cajas-estancas/cajas-estancas-ip65-sin-conos/815/815
Keypad numérico 4x4,1,https://www.aliexpress.com/item/32267354418.html?spm=a2g0o.productlist.main.1.6fd85e8aeEc58N&algo_pvid=78e1b07d-56ec-4472-99a0-631d0b50ece0&algo_exp_id=78e1b07d-56ec-4472-99a0-631d0b50ece0-0&pdp_npi=3%40dis%21EUR%210.88%210.84%21%21%21%21%21%402100b78b16843440700005449d07b2%2112000029014864699%21sea%21ES%212751063590&curPageLogUid=rlNi9NIv6zbv
